month,district,soil_type,N,P,K,temperature,humidity,ph,rainfall,label
Apr,Hanamkonda,Clay,83,53,36,26.4,70,6.4,164,Sugarcane
May,Karimnagar,Sandy,84,50,37,27.2,72,6.5,172,Sugarcane
Jun,Warangal,Loamy,80,51,38,28.0,74,6.6,180,Sugarcane
Jul,Hanamkonda,Clay,81,52,36,28.8,76,6.4,188,Sugarcane
Aug,Karimnagar,Sandy,82,53,37,29.6,78,6.5,196,Sugarcane
Sep,Warangal,Loamy,83,50,38,30.4,80,6.6,204,Sugarcane
Oct,Hanamkonda,Clay,84,51,36,31.2,82,6.4,212,Sugarcane
Nov,Karimnagar,Sandy,80,52,37,32.0,84,6.5,220,Sugarcane
Dec,Warangal,Loamy,81,53,38,32.8,86,6.6,228,Sugarcane
Jan,Karimnagar,Sandy,90,55,40,25.0,65,6.5,155,Groundnut
Feb,Warangal,Loamy,91,56,41,25.8,67,6.6,163,Groundnut
Mar,Hanamkonda,Clay,92,57,42,26.6,69,6.7,171,Groundnut
Apr,Karimnagar,Sandy,93,58,40,27.4,71,6.5,179,Groundnut
May,Warangal,Loamy,94,55,41,28.2,73,6.6,187,Groundnut
Jun,Hanamkonda,Clay,90,56,42,29.0,75,6.7,195,Groundnut
Jul,Karimnagar,Sandy,91,57,40,29.8,77,6.5,203,Groundnut
Aug,Warangal,Loamy,92,58,41,30.6,79,6.6,211,Groundnut
Sep,Hanamkonda,Clay,93,55,42,31.4,81,6.7,219,Groundnut
Oct,Karimnagar,Sandy,94,56,40,32.2,83,6.5,227,Groundnut
Nov,Warangal,Loamy,90,57,41,33.0,85,6.6,235,Groundnut
Dec,Hanamkonda,Clay,91,58,42,33.8,87,6.7,243,Groundnut
Jan,Warangal,Loamy,100,60,44,26.0,66,6.6,170,Soybean
Feb,Hanamkonda,Clay,101,61,45,26.8,68,6.7,178,Soybean
Mar,Karimnagar,Sandy,102,62,46,27.6,70,6.8,186,Soybean
Apr,Warangal,Loamy,103,63,44,28.4,72,6.6,194,Soybean
May,Hanamkonda,Clay,104,60,45,29.2,74,6.7,202,Soybean
Jun,Karimnagar,Sandy,100,61,46,30.0,76,6.8,210,Soybean
Jul,Warangal,Loamy,101,62,44,30.8,78,6.6,218,Soybean
Aug,Hanamkonda,Clay,102,63,45,31.6,80,6.7,226,Soybean
Sep,Karimnagar,Sandy,103,60,46,32.4,82,6.8,234,Soybean
Oct,Warangal,Loamy,104,61,44,33.2,84,6.6,242,Soybean
Nov,Hanamkonda,Clay,100,62,45,34.0,86,6.7,250,Soybean
Dec,Karimnagar,Sandy,101,63,46,34.8,88,6.8,258,Soybean
